-11 Liku/Niue, -169.792327,-19.053680, -11.0
-10 Honolulu/Hawaii, -157.854995, 21.306647, -10.0
 -9 Adak/Adak Island, -176.660156, 51.862923, -9.0
 -8 Anchorage/Alaska, -149.721679, 61.227957, -8.0
 -7 Los Angeles/USA, -104.741667, 34.052235, -7.0
 -7 Vancouver/Canada, -123.108673, 49.263323,-7.0
 -6 Calgary/Canada, -114.071044, 51.058660, -6.0
 -5 Winnipeg/Canada, -97.141113, 49.866316, -5.0
 -4 Igloolik/Igloolik Island, -81.806259, 69.379587, -4.0
 -4 Ontario/Canada, -84.887696, 49.315573, -4.0
 -3 Salvador/Brazil, -38.480987, -12.973780, -3.0
 -3 Goose Bay/Newfoundland, -60.342407, 53.304621,-3.0
 -2 Nuuk/Greenland, -51.723632, 64.182464, -2.0
 -1 Sao Filipe/Fogo, -24.483718, 14.890709,-1.0
  0 Reykjavik/Iceland, -21.928710,64.144161, 0.0
 +1 Dublin/Ireland, -6.249847, 53.350551, 1.0
 +1 Greenwhich/UK, -0.193634, 51.489293, 1.0
 +2 Brussels/Belgium, 4.390869, 50.824444, 2.0
 +2 Berlin/Germany, 13.405151, 52.511763, 2.0
 +2 Krakow/Poland, 19.929199, 50.050084, 2.0
 +3 Odesa/Ukraine, 30.739746, 46.468132, 3.0
 +3 Novgorodd/Russia, 43.978271, 56.307396, 3.0
 +4 Baku/Azerbaijan, 49.844970, 40.390488, 4.0
 +4 Dubai/UAE, 55.341795, 25.138654, 4.0
 +5 Islamabad/Pakistan, 73.044433, 33.706061, 5.0
 +6 Jahore/Bangladesh, 89.229125, 23.179080, 6.0
 +7 Bangkok/Thailand, 100.546875, 13.496472, 7.0
 +8 Beijing/China, 116.389160, 39.884450, 8.0
 +8 Manilla/Philippines, 120.878899, 14.491408, 8.0
 +9 Sapporo/Japan, 141.344604, 43.056847,9.0
+10 Andersen AFB/Guam, 144.924087, 13.580586, 10.0
+11 Magadan/Russia, 150.805206, 59.568418, 11.0
+12 Queenstown/New Zealand, 168.618640, -45.104546, 12.0
+12 McMurdo Station/Antartica, 166.690063, -77.84011, 12.0
+13 Nomuka/Tonga, -174.802093, -20.251890, 13.0